StockID,TradeVolume,Transaction,TradeValue,Open,Max,Min,Close,Change,date
030128,0,0,0,0.0,0.0,0.0,0.0,0.0,2023-03-20
030129,0,0,0,0.0,0.0,0.0,0.0,0.0,2023-03-20
03012U,0,0,0,0.0,0.0,0.0,0.0,0.0,2023-03-20
03012X,6000,2,86400,14.4,14.4,14.4,14.4,-0.6,2023-03-20
030130,0,0,0,0.0,0.0,0.0,0.0,0.0,2023-03-20
030131,0,0,0,0.0,0.0,0.0,0.0,0.0,2023-03-20
030132,0,0,0,0.0,0.0,0.0,0.0,0.0,2023-03-20
030133,70000,3,88200,1.26,1.26,1.26,1.26,-0.06,2023-03-20
030134,0,0,0,0.0,0.0,0.0,0.0,0.0,2023-03-20
030135,55000,3,72600,1.32,1.32,1.32,1.32,-0.06,2023-03-20
030136,78000,4,110880,1.43,1.43,1.41,1.41,-0.04,2023-03-20
030137,10000,1,14300,1.43,1.43,1.43,1.43,-0.06,2023-03-20
030138,47000,2,78840,1.62,1.68,1.62,1.68,0.08,2023-03-20
030139,224000,14,461630,2.03,2.09,1.96,1.96,0.03,2023-03-20
03013P,106000,3,65660,0.62,0.62,0.61,0.61,-0.03,2023-03-20
03013U,0,0,0,0.0,0.0,0.0,0.0,0.0,2023-03-20
03013X,0,0,0,0.0,0.0,0.0,0.0,0.0,2023-03-20
030140,0,0,0,0.0,0.0,0.0,0.0,0.0,2023-03-20
030141,0,0,0,0.0,0.0,0.0,0.0,0.0,2023-03-20
030142,73000,2,64590,0.89,0.89,0.88,0.88,-0.04,2023-03-20
030143,0,0,0,0.0,0.0,0.0,0.0,0.0,2023-03-20
030144,2000,2,2380,1.23,1.23,1.15,1.15,0.03,2023-03-20
030145,310000,13,273250,0.86,0.9,0.86,0.9,0.06,2023-03-20
030146,3000,1,2310,0.77,0.77,0.77,0.77,-0.08,2023-03-20
030147,72000,7,144840,2.0,2.11,1.95,1.95,0.05,2023-03-20
030148,0,0,0,0.0,0.0,0.0,0.0,0.0,2023-03-20
030149,4000,2,19210,4.93,4.93,4.76,4.76,0.32,2023-03-20
03014U,0,0,0,0.0,0.0,0.0,0.0,0.0,2023-03-20
03014X,0,0,0,0.0,0.0,0.0,0.0,0.0,2023-03-20
030150,4000,2,18440,4.52,4.64,4.52,4.64,0.38,2023-03-20
030151,30000,1,22200,0.74,0.74,0.74,0.74,0.0,2023-03-20
030152,0,0,0,0.0,0.0,0.0,0.0,0.0,2023-03-20
030153,62000,2,21080,0.34,0.34,0.34,0.34,0.03,2023-03-20
030154,343000,19,436700,1.19,1.33,1.19,1.24,0.08,2023-03-20
